ime,id
60 Feet,1
Self,2
Self (5-foot radius),3
120 Feet,4
Touch,5
30 Feet,6
5 feet,7
Self (15-foot radius),8
120 feet,9
60 feet,10
30 feet,11
10 feet,12
Self (30-foot line),13
Self (10-foot radius),14
Self (15-foot cone),15
90 feet,16
Self (15-foot cube),17
Self (30-foot radius),18
300 feet,19
Self (60-foot line),20
60ft,21
Self (30-foot cone),22
Sight,23
150 feet,24
1 mile,25
Self (60-foot cone),26
Self (10-foot radius hemisphere),27
Self (100-foot line),28
Unlimited,29
500 feet,30
120ft,31
Special,32
20 feet,33
100 feet,34
500 Miles,35
Self (10-foot radius sphere),36
Self (5 mile radius),37
150 Feet,38
"1,000 feet",39
